id,link,publish_data,category,title,author,img,img_caption,content
0,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
1,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
2,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,28m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
3,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
4,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
5,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
6,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
7,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
8,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
9,https://www.news24.com/sport/Soccer/EnglishPremiership/saudis-join-race-to-buy-manchester-united-report-20230217,2h ago,Sports,Saudis join race to buy Man United as deadline nears - report,AFP,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
10,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
11,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
12,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
13,https://www.news24.com/sport/Soccer/EnglishPremiership/saudis-join-race-to-buy-manchester-united-report-20230217,2h ago,Sports,Saudis join race to buy Man United as deadline nears - report,AFP,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
14,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/bok-winger-nkosi-to-start-for-bulls-against-stormers-steyn-set-for-150-game-milestone-20230217,5h ago,Sports,"Bok winger Nkosi to start for Bulls against Stormers, Steyn set for 150-game milestone",Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/7895/c666a4438c4640ae948f4e3bd1b17091.jpeg,Sbu Nkosi. (Johan Rynners/Vodacom Bulls),
15,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
16,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
17,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
18,https://www.news24.com/sport/Soccer/EnglishPremiership/saudis-join-race-to-buy-manchester-united-report-20230217,2h ago,Sports,Saudis join race to buy Man United as deadline nears - report,AFP,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
19,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/bok-winger-nkosi-to-start-for-bulls-against-stormers-steyn-set-for-150-game-milestone-20230217,5h ago,Sports,"Bok winger Nkosi to start for Bulls against Stormers, Steyn set for 150-game milestone",Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/7895/c666a4438c4640ae948f4e3bd1b17091.jpeg,Sbu Nkosi. (Johan Rynners/Vodacom Bulls),
20,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/scarra-starts-for-stormers-against-bulls-as-dobson-keeps-changes-to-a-minimum-20230217,4h ago,Sports,Scarra starts for Stormers against Bulls as Dobson keeps changes to a minimum,Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/8171/2df89e5e201f4b1ea7e46fc18878eff9.jpg,Scarra Ntubeni. (Photo by Ashley Vlotman/Gallo Images),
21,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
22,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
23,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
24,https://www.news24.com/sport/Soccer/EnglishPremiership/saudis-join-race-to-buy-manchester-united-report-20230217,2h ago,Sports,Saudis join race to buy Man United as deadline nears - report,AFP,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
25,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/bok-winger-nkosi-to-start-for-bulls-against-stormers-steyn-set-for-150-game-milestone-20230217,5h ago,Sports,"Bok winger Nkosi to start for Bulls against Stormers, Steyn set for 150-game milestone",Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/7895/c666a4438c4640ae948f4e3bd1b17091.jpeg,Sbu Nkosi. (Johan Rynners/Vodacom Bulls),
26,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/scarra-starts-for-stormers-against-bulls-as-dobson-keeps-changes-to-a-minimum-20230217,4h ago,Sports,Scarra starts for Stormers against Bulls as Dobson keeps changes to a minimum,Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/8171/2df89e5e201f4b1ea7e46fc18878eff9.jpg,Scarra Ntubeni. (Photo by Ashley Vlotman/Gallo Images),
27,https://www.news24.com/sport/Rugby/Sevens/ismaiel-set-to-complete-rare-hat-trick-with-blitzboks-debut-in-la-20230217,3h ago,Sports,Ismaiel set to complete rare hat-trick with Blitzboks debut in LA,Compiled by Lynn Butler,https://cdn.24.co.za/files/Cms/General/d/8359/79fcb56731f549c2a97e92a9317ac514.jpg,Travis Ismaiel,
28,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
29,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
30,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
31,https://www.news24.com/sport/Soccer/EnglishPremiership/saudis-join-race-to-buy-manchester-united-report-20230217,3h ago,Sports,Saudis join race to buy Man United as deadline nears - report,AFP,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
32,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/bok-winger-nkosi-to-start-for-bulls-against-stormers-steyn-set-for-150-game-milestone-20230217,5h ago,Sports,"Bok winger Nkosi to start for Bulls against Stormers, Steyn set for 150-game milestone",Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/7895/c666a4438c4640ae948f4e3bd1b17091.jpeg,Sbu Nkosi. (Johan Rynners/Vodacom Bulls),
33,https://www.news24.com/sport/Rugby/UnitedRugbyChampionship/scarra-starts-for-stormers-against-bulls-as-dobson-keeps-changes-to-a-minimum-20230217,4h ago,Sports,Scarra starts for Stormers against Bulls as Dobson keeps changes to a minimum,Herman Mostert,https://cdn.24.co.za/files/Cms/General/d/8171/2df89e5e201f4b1ea7e46fc18878eff9.jpg,Scarra Ntubeni. (Photo by Ashley Vlotman/Gallo Images),
34,https://www.news24.com/sport/Rugby/Sevens/ismaiel-set-to-complete-rare-hat-trick-with-blitzboks-debut-in-la-20230217,3h ago,Sports,Ismaiel set to complete rare hat-trick with Blitzboks debut in LA,Compiled by Lynn Butler,https://cdn.24.co.za/files/Cms/General/d/8359/79fcb56731f549c2a97e92a9317ac514.jpg,Travis Ismaiel,
35,https://www.news24.com/sport/Cricket/khawaja-handscomb-lead-australia-fight-in-2nd-india-test-20230217,2h ago,Sports,"Khawaja, Handscomb lead Australia fight in 2nd India Test",AFP,https://cdn.24.co.za/files/Cms/General/d/8359/4ab3ad8452da4592bd0c87babd9463f2.jpg,Peter Handscomb. (Photo by Pankaj Nangia/Getty Images),
36,https://www.news24.com/sport/Cricket/Proteas/proteas-leadership-shake-up-temba-takes-over-test-captaincy-ahead-of-windies-series-20230217,1h ago,Sports,"Proteas shake-up: Bavuma handed Test captaincy, stands down from T20 role as De Zorzi called up",Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8361/c6a838fdef4649b1833da1c2ac430c99.jpg,Temba Bavuma (Gallo),
37,https://www.news24.com/sport/OtherSport/WaterSport/birkett-mackenzie-tighten-their-grips-on-the-dusi-titles-20230217,29m ago,Sports,"Birkett, Mackenzie tighten their grips on the Dusi titles",Compiled by Craig Taylor,https://cdn.24.co.za/files/Cms/General/d/8362/a3c022dba3874a6292f26c6b35e09b8c.jpg,Andy Birkett (Gallo),
38,https://www.news24.com/sport/Cricket/SA20/biff-praises-temba-for-right-response-to-sa20-snub-reiterates-franchises-selection-autonomy-20230217,3h ago,Sports,"Biff praises Temba for 'right' response to SA20 snub, reiterates franchises' selection autonomy",Heinz Schenk,https://cdn.24.co.za/files/Cms/General/d/8249/51abb1a4ef464b299c73524e140aa18a.jpg,Temba Bavuma. (Photo by SA20/Sportzpics/Gallo Images),
